"X.5","word","n","tf","idf","tf_idf"
"Ready","works",1,0.333333333333333,3.89182029811063,1.29727343270354
"risk-reward","cost",1,1,2.10006082888257,2.10006082888257
"risky","safety",1,1,0.947381318944186,0.947381318944186
"safe","acceptance",1,0.2,3.19867311755068,0.639734623510136
"safe","accuracy",1,0.2,3.89182029811063,0.778364059622125
"safe","of",1,0.2,2.79320800944252,0.558641601888503
"safe","sensors",1,0.2,3.89182029811063,0.778364059622125
"safe","the",1,0.2,3.19867311755068,0.639734623510136
"Safety","lack",1,0.5,3.19867311755068,1.59933655877534
"Safety","study",1,0.5,3.89182029811063,1.94591014905531
"scary","safety",1,1,0.947381318944186,0.947381318944186
"Skepticism","cost",1,1,2.10006082888257,2.10006082888257
"transitional","safety",1,1,0.947381318944186,0.947381318944186
"unsure","autonomous",1,0.166666666666667,3.89182029811063,0.648636716351771
"unsure","interaction",1,0.166666666666667,3.89182029811063,0.648636716351771
"unsure","non",1,0.166666666666667,3.89182029811063,0.648636716351771
"unsure","safety",1,0.166666666666667,0.947381318944186,0.157896886490698
"unsure","vehicles",1,0.166666666666667,3.89182029811063,0.648636716351771
"unsure","with",1,0.166666666666667,3.89182029811063,0.648636716351771
"useful","affordability",1,0.333333333333333,3.19867311755068,1.06622437251689
"useful","lack",1,0.333333333333333,3.19867311755068,1.06622437251689
"useful","of",1,0.333333333333333,2.79320800944252,0.931069336480839
"What is one word to describe your thoughts about driverless mobility?","1",1,0.333333333333333,3.89182029811063,1.29727343270354
"What is one word to describe your thoughts about driverless mobility?","biggest",1,0.333333333333333,3.89182029811063,1.29727343270354
"What is one word to describe your thoughts about driverless mobility?","concern",1,0.333333333333333,3.89182029811063,1.29727343270354
