Buffalo,QRQ5-5N7A,Yes,came with  my friend,is it safe? I want control of my own car,Pessimistic,no way,Yes,grocery store,"took son to work, library",canada,car,car,car,myself,myself and son,myself and 3 sons,a/c in car,the company,the beach when we got there,lots of traffic,none,how long the 3 hr trip took,Driverless mobility would make worse,Driverless mobility would improve,Driverless mobility would have no effect,Driverless mobility would improve,Driverless mobility would have no effect,Driverless mobility would have no effect,Driverless mobility would make worse,Driverless mobility would have no effect,Driverless mobility would have no effect,Driverless mobility would have no effect,Driverless mobility would have no effect,Driverless mobility would improve,Driverless mobility would make worse,,,accidents and traffic congestion,that is safe,people need it to be,that people don't get accidents,,,,that is safe - people need it to be,,that people don't get accidents,,,,Yes,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,driving my self only,Unsure/I don't know,Unsure/I don't know,Disagree,Strongly disagree,Strongly disagree,i do not support,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Unsure/I don't know,your own data is your business no one else,Yes,Desirable,Desirable,Neutral,Neutral,Improving the current system,NA,Yes,5 - Very effective,2 - Not effective,1 - Not at all effective,4 - Effective,3 - Unsure,,,,,,,,,,,,,,,,,,,,,,,,,,I think the National would be most effective,4 - Trust,3 - Unsure,3 - Unsure,4 - Trust,2 - Don't trust,,,,,,,,,,,,,,,,,,,,,,,,,,Transportation & National Government has my trust the most,Privacy protection,Infrastructure,Justice/equity,Cybersecurity,Safety,Environment,NO,Personal Safety,Safety,Safety,Yes,yes,none,crazy
Buffalo,4VX9-VVNZ,Yes,Drove myself,What the main incentives are for developing this technology and ethics.,Neutral,Ethics,Yes,"gym fitness, erie canal fitness","gym fitness, erie canal fitness","California, family trip",vehicle and vehicle/bike,vehicle and vehicle/bike,vehicle plane,myself,myself,family parents,"driving, freedom, nature","driving, freedom, nature",nature,irregular driver behavior,irregular driver behavior,time,Driverless mobility would make worse,Driverless mobility would improve,Driverless mobility would have no effect,Driverless mobility would improve,Driverless mobility would improve,Driverless mobility would improve,Driverless mobility would improve,Driverless mobility would make worse,Driverless mobility would make worse,Driverless mobility would make worse,Driverless mobility would have no effect,Driverless mobility would make worse,Driverless mobility would improve,,,accessibility - it would probably be more of a luxury than an affordable and usable solution for individuals who can really benefit from its (disabilities),"Access for disabilities
-current options are ineffective",,,,,,"Cost
-will be more expensive and inclusive that it should be",,"Ethics
-lack of agreement and outlier situations",,"Safety
- may not reduce fatalities",,Yes,Strongly agree,Agree,Unsure/I don't know,Unsure/I don't know,"2, technology isn't there yet",Strongly agree,Strongly agree,Agree,Unsure/I don't know,Agree,citizen's choice in which areas are tested,Unsure/I don't know,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,anonymization,Yes,Not desirable,Neutral,Desirable,Higly desirable,Individual ownership;Ride share model;Public transportation model,our current system has flaws that any disruption and competition can improve current system as well as transitioning/developing system such as autonomous models,Yes,3 - Unsure,3 - Unsure,2 - Not effective,2 - Not effective,1 - Not at all effective,4 - Effective,4 - Effective,3 - Unsure,3 - Unsure,2 - Not effective,4 - Effective,4 - Effective,3 - Unsure,2 - Not effective,3 - Unsure,3 - Unsure,3 - Unsure,3 - Unsure,4 - Effective,1 - Not at all effective,4 - Effective,3 - Unsure,3 - Unsure,3 - Unsure,4 - Effective,4 - Effective,4 - Effective,4 - Effective,2 - Not effective,1 - Not at all effective,"Environment, just b/c if it doesn't improve environment then what's the collective point of this ""advancement""? Convenience could be the death of us. National gov't hopefully should be most effective, but we know how that goes.",4 - Trust,3 - Unsure,2 - Don't trust,1 - Don't trust at all,1 - Don't trust at all,4 - Trust,4 - Trust,3 - Unsure,,1 - Don't trust at all,4 - Trust,4 - Trust,3 - Unsure,1 - Don't trust at all,1 - Don't trust at all,4 - Trust,4 - Trust,3 - Unsure,4 - Trust,1 - Don't trust at all,4 - Trust,4 - Trust,3 - Unsure,3 - Unsure,4 - Trust,4 - Trust,4 - Trust,4 - Trust,1 - Don't trust at all,1 - Don't trust at all,"National gov't ideally, for all issues. Just b/c of accountability.",Safety,Environment,Cybersecurity,Privacy protection,Justice/equity,Infrastructure,Unsure,"Policy, regulations, justice, ethics",Improve public transportation,"Safety, privacy, environment, security",Yes,No,"Ethics, what to do in certain situations when a crash is unavoidable...risk drivers life or group of people",inevitable
Buffalo,GHRH-HYXE,Yes,I drove to the forum today,"My main question about driveless mobility is about seniors dealing with unpredictable human behavior, hackers' ability to sabotage and weather or not we will need driver's licenses.",Optimistic,Curious,Yes,"tampa, fl",work,last weekend,car,car,car,children,co-workers,children,seeing family members,convenience of leaving a little bit later than if i had to take public transportation,seeing family members,traffic price of gas night driving all of the stops tiredness,"had to repair tire, the roads holes, accidents",same as above,Driverless mobility would have no effect,Driverless mobility would have no effect,Driverless mobility would improve,Driverless mobility would improve,Driverless mobility would improve,Driverless mobility would improve,Driverless mobility would improve,Driverless mobility would improve,Driverless mobility would improve,Driverless mobility would have no effect,Driverless mobility would have no effect,Driverless mobility would improve,Driverless mobility would improve,,,Traffic congest and accidents,safety,of less accidents,road congestion - it would allow for  you to travel and get to your destination faster,,road rage - humans are not at the wheel,,jobs - i feel that it will take away jobs from humans,,cost - i feel it would be more costly,,,,Yes,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,at this point in the technology i would feel comfortable with levels 2 and 3 with more advancement i might consider level 4 and 5,Agree,Agree,Agree,Agree,Agree,i would support testing in all areas to perfect it real life situations.,Agree,Disagree,Disagree,Agree,Agree,the most important data issues to me would be in the tracking and surveillance of humans/individuals,Yes,Desirable,Desirable,Desirable,Desirable,Individual ownership,i would prefer to be responsible for my own safety and decision making as opposed to one that consists of a shared experience,Yes,2 - Not effective,2 - Not effective,5 - Very effective,1 - Not at all effective,1 - Not at all effective,2 - Not effective,2 - Not effective,2 - Not effective,2 - Not effective,1 - Not at all effective,5 - Very effective,2 - Not effective,2 - Not effective,1 - Not at all effective,1 - Not at all effective,2 - Not effective,2 - Not effective,2 - Not effective,1 - Not at all effective,1 - Not at all effective,2 - Not effective,5 - Very effective,4 - Effective,1 - Not at all effective,1 - Not at all effective,2 - Not effective,2 - Not effective,,1 - Not at all effective,1 - Not at all effective,Cybersecurity is the most important issue to me & I believe that the Auto Industry would be most effective.,1 - Don't trust at all,2 - Don't trust,4 - Trust,2 - Don't trust,2 - Don't trust,3 - Unsure,3 - Unsure,3 - Unsure,4 - Trust,3 - Unsure,2 - Don't trust,2 - Don't trust,4 - Trust,3 - Unsure,2 - Don't trust,1 - Don't trust at all,1 - Don't trust at all,3 - Unsure,1 - Don't trust at all,3 - Unsure,1 - Don't trust at all,2 - Don't trust,3 - Unsure,4 - Trust,4 - Trust,2 - Don't trust,3 - Unsure,4 - Trust,3 - Unsure,3 - Unsure,Privacy protection is most important and I don't trust the government.,Privacy protection,Safety,Infrastructure,Justice/equity,Cybersecurity,Environment,"Age requirements, do you need a driver's license to sit behind the wheel or be a passenger? What are the precautions for theft (deterrents)?",,,,Yes,yes,n/a,fascinated
Buffalo,VQVH-KGAM,Yes,drove private car,are the benefits worth the risks and costs,Neutral,why?,Yes,church and downtown,senior center and library,nyc to attend performance at met opera,drove car,drove car,bus there flew back,alone,alone,alone,alone listing to the radio and music,alone listing to music,getaway,none,main st in williamsville,traffic/scheduling issues,Driverless mobility would have no effect,Driverless mobility would have no effect,Driverless mobility would make worse,Driverless mobility would have no effect,Driverless mobility would make worse,Driverless mobility would make worse,Driverless mobility would improve,Driverless mobility would have no effect,Driverless mobility would make worse,Driverless mobility would have no effect,Driverless mobility would make worse,Driverless mobility would improve,Driverless mobility would have no effect,Driverless mobility would have no effect,,more reliance on cars equal increased congestion,scheduling ,more adaptable and individualized,safety - reduced accidents,,affordability - don't have to pay and tip a driver,,safety - artificial intelligence is artificial,,weather - what is the vehicle driving into,,input interference - voice/command numeric??,,Yes,Strongly agree,Disagree,Disagree,Disagree,i'm cautious about automotive,Strongly agree,Agree,Unsure/I don't know,Unsure/I don't know,Agree,the fewer the variable the better,Unsure/I don't know,Strongly disagree,Strongly disagree,Strongly agree,Unsure/I don't know,the data does not explain my intent and therefore can be easily misinterpreted. potential misuse of data,Yes,Desirable,Desirable,Not desirable,Higly desirable,Public transportation model,"point to point is the most efficient with the ""last mile"" offering the greatest opportunities for individualization",Yes,4 - Effective,4 - Effective,3 - Unsure,2 - Not effective,4 - Effective,4 - Effective,5 - Very effective,4 - Effective,4 - Effective,4 - Effective,4 - Effective,4 - Effective,4 - Effective,2 - Not effective,3 - Unsure,4 - Effective,4 - Effective,5 - Very effective,2 - Not effective,5 - Very effective,5 - Very effective,4 - Effective,5 - Very effective,3 - Unsure,5 - Very effective,2 - Not effective,5 - Very effective,5 - Very effective,1 - Not at all effective,3 - Unsure,unless climate change is addressed everything else is moot. The national government needs to address it and many local/state governments are,2 - Don't trust,4 - Trust,4 - Trust,2 - Don't trust,3 - Unsure,3 - Unsure,4 - Trust,4 - Trust,2 - Don't trust,5 - Trust a lot,4 - Trust,5 - Trust a lot,5 - Trust a lot,2 - Don't trust,5 - Trust a lot,3 - Unsure,3 - Unsure,4 - Trust,2 - Don't trust,2 - Don't trust,4 - Trust,4 - Trust,5 - Trust a lot,2 - Don't trust,5 - Trust a lot,3 - Unsure,5 - Trust a lot,5 - Trust a lot,1 - Don't trust at all,3 - Unsure,The environment - if global climate change is not adequately addressed everything else is moot. The ideal national government.,Environment,Safety,Justice/equity,Cybersecurity,Privacy protection,Infrastructure,Responsiveness of national government to its constituents.,"Establish effective, meaningful laws and regulations including but limited to the disabled and marginalized communities.",Same as above.,Work with and not against government in making sure the above happens and is implemented in good faith.,Yes,yes,how are issues regarding larger intermodal integration of modes going to be address. Macro level system integration.,customizable
Buffalo,TJXL-NBJ8,Yes,drove,everything,Neutral,questions,Yes,"to canal side 
library",";library
home visits
volunteering",haven't had one,drove,drove,,self and other veterans,self and other veterans,,being together,being together,,none,none,,Driverless mobility would have no effect,Driverless mobility would have no effect,Driverless mobility would have no effect,Driverless mobility would improve,Driverless mobility would have no effect,Driverless mobility would have no effect,Driverless mobility would have no effect,Driverless mobility would have no effect,Driverless mobility would have no effect,Driverless mobility would have no effect,Driverless mobility would have no effect,Driverless mobility would improve,Driverless mobility would have no effect,,,"availability of my time to do things I-would never work, sleep,read etc. no matter what",it works,its the future,safe - safety is important,,cost effective - we need cheaper transportation,,lack of control - control would not be mine,,high cost -  of cost increase,,reliability - I don't want the vehicle to break down,,Yes,Unsure/I don't know,Unsure/I don't know,Unsure/I don't know,Unsure/I don't know,none. i need to be in control,Agree,Agree,Unsure/I don't know,Disagree,Disagree,"i would support testing beds, its the most safe",Strongly disagree,Strongly disagree,Strongly disagree,Agree,Strongly disagree,the most important is control by the people/individual,Yes,Neutral,Highly undesirable,Neutral,Neutral,Individual ownership,i want to continue with individual ownership,Yes,3 - Unsure,3 - Unsure,4 - Effective,3 - Unsure,3 - Unsure,2 - Not effective,3 - Unsure,4 - Effective,3 - Unsure,3 - Unsure,1 - Not at all effective,2 - Not effective,4 - Effective,2 - Not effective,2 - Not effective,2 - Not effective,2 - Not effective,4 - Effective,2 - Not effective,2 - Not effective,2 - Not effective,2 - Not effective,4 - Effective,2 - Not effective,3 - Unsure,3 - Unsure,2 - Not effective,4 - Effective,3 - Unsure,3 - Unsure,Non profit - because they are grass roots,3 - Unsure,3 - Unsure,3 - Unsure,3 - Unsure,3 - Unsure,3 - Unsure,2 - Don't trust,3 - Unsure,3 - Unsure,2 - Don't trust,3 - Unsure,3 - Unsure,3 - Unsure,3 - Unsure,3 - Unsure,2 - Don't trust,2 - Don't trust,2 - Don't trust,2 - Don't trust,2 - Don't trust,2 - Don't trust,2 - Don't trust,2 - Don't trust,2 - Don't trust,2 - Don't trust,3 - Unsure,3 - Unsure,3 - Unsure,3 - Unsure,3 - Unsure,Privacy protection - they are grass roots,,,,,,,Honesty. Because I want to believe,Safety,Safety,Safety,Yes,yes,none,question
Buffalo,ZF8W-VMUC,Yes,Rode my bike,How will it affect or include different groups of people? Looking at it intersectionally-,Neutral,Curious,Yes,across town to volunteer with habitat for humanity,grocery store,camping Alleghany,bicycle,bicycle,my friend drove me- walked to camp site which was 3 miles away,myself,myself,3 friends,good weather,easy,beautiful nature,"not the safest neighborhood,  same fast cars on the road",some heckling/harrassment,"map,directions, way finding in woods",Driverless mobility would improve,Driverless mobility would improve,Driverless mobility would improve,Driverless mobility would improve,Driverless mobility would improve,Driverless mobility would improve,Driverless mobility would improve,Driverless mobility would have no effect,Driverless mobility would improve,Driverless mobility would make worse,Driverless mobility would improve,Driverless mobility would improve,Driverless mobility would improve,,,is it safer for pedestrians and cyclist sharing  the road?,Reduces carbon emissions,we don't want to spend resources creating complicated new vehicles when we could invest in city infrastructure for safer biking for example,Increases accessibility to quality transportation - will allow poorer people more options to commute quicker to better jobs,,Reduce deaths,,It will be too costly for most people,,It could malfunction/safety - technological difficulties,,,,Yes,Agree,Disagree,Disagree,Agree,the transition from full automated to driver taking over seems like it could result in error and dangerous situations. full automation seem safer.,Strongly agree,Strongly agree,Agree,Unsure/I don't know,Unsure/I don't know,"if there were ""test modes"" it would be beneficial and safer than pre-mature adaptation by the public",Agree,Agree,Unsure/I don't know,Agree,Unsure/I don't know,"the inherent human bias of how data is used. in law enforcement is racially biased, the data could be misused. linking data to identity is different than just gathering anonymous data.",Yes,Neutral,Neutral,Desirable,Higly desirable,Improving the current system;Individual ownership;Ride share model;Public transportation model,Public transport as well as improving sidewalks and bike infrastructure bring mobility to the most people and is the most environmentally sustainable in the future.,Yes,4 - Effective,3 - Unsure,4 - Effective,2 - Not effective,4 - Effective,4 - Effective,4 - Effective,3 - Unsure,4 - Effective,1 - Not at all effective,5 - Very effective,4 - Effective,4 - Effective,2 - Not effective,3 - Unsure,4 - Effective,3 - Unsure,4 - Effective,3 - Unsure,4 - Effective,5 - Very effective,3 - Unsure,2 - Not effective,3 - Unsure,5 - Very effective,4 - Effective,4 - Effective,5 - Very effective,2 - Not effective,3 - Unsure,"Justice/equity - in the past the National Government has passed laws to create quality for women, Civil Rights, LGBTQ+, immigrants & refugees, children, etc.",3 - Unsure,3 - Unsure,4 - Trust,2 - Don't trust,3 - Unsure,4 - Trust,4 - Trust,4 - Trust,2 - Don't trust,3 - Unsure,4 - Trust,3 - Unsure,5 - Trust a lot,2 - Don't trust,2 - Don't trust,3 - Unsure,3 - Unsure,4 - Trust,2 - Don't trust,3 - Unsure,4 - Trust,4 - Trust,5 - Trust a lot,3 - Unsure,4 - Trust,4 - Trust,4 - Trust,5 - Trust a lot,2 - Don't trust,3 - Unsure,Environment - the non-profit organizations have fewest ulterior motives & financial incentives to make bad choices,Environment,Justice/equity,Safety,Infrastructure,Privacy protection,Cybersecurity,"Work with connecting multiple transit modes - example - autonomous vehicles that accommodate bicycles, strollers, luggage, grocery hauls, children, babies, scooters, wheelchairs, so that you can take an autonomous vehicle for most of your trip and then the last mile by bike, for example.","Provide the most robust services for the most people with the fewest options now. Copy cities that have succeeded in this. ex. Penalosa's work in pedestrian & public transportation in Bogota, Columbia.","Create adaptable, resilient systems that can adapt to different population fluxes & climate changes of the region in the future","Remember to include all types of people in your testing for safety & design - women, people of color, those with disabilities, poor",Yes,yes,what will be the timeline?,complex
Buffalo,VFCM-SDYL,Yes,drove,"how safe it is re: accidents, and also the posibility of the system being hacked.",Very pessimistic,Concerned,Yes,church,"-dog groomer
-doctor's
-grocery store",Maine to visit friends,car,my car,my car,no one,"-friend
-my sister
-no one",no one,was only a few minutes long,"-scenery
-short distance
-short distance",it was nice to see the scenery in eastern NY and Vermont,none,"-traffic jam due to accident
-nothing
-traffic",there were some lengthy traffic jams near big cities,Driverless mobility would have no effect,Driverless mobility would have no effect,Driverless mobility would have no effect,Driverless mobility would have no effect,Driverless mobility would improve,Driverless mobility would improve,Driverless mobility would improve,Driverless mobility would make worse,Driverless mobility would make worse,Driverless mobility would have no effect,Driverless mobility would make worse,Driverless mobility would improve,Driverless mobility would improve,Driverless mobility would make worse,concern about the software failing,"i fear that the computer software could fail or be hacked by ""crazies"" out there",that it would improve access,they will be more independent,that it would decrease traffic - this could save lives,,that it would decrease the number of fossil fuel vehicles - this would help the environment,,that the computer software could fail - this could cause accidents and loss of life,,that this would cause people to be less connected -  this could affect people 'in the moment' and this has a deleterious effect on our brains,,that only the rich could  afford -  this would further increase the disparity between the rich and poor,,Yes,Agree,Disagree,Disagree,Strongly disagree,"only the one that helps you stay in lane. i do not trust things to do anything else, due to potential for software failure/hacking",Agree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,i would only support testing in test beds until assurances can be made re: software reliability,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,"the most important data issues to me include privacy and intrusiveness of advertising. if one chose to use a driverless vehicle, one should not have to worry about who knows where they are going.",Yes,Higly desirable,Neutral,Neutral,Desirable,Improving the current system;Public transportation model,"because 1. the public transportation model could be accessible to most people, could reduce congestion and pollution.2. improving the current system could likely be the most cost effective",Yes,1 - Not at all effective,1 - Not at all effective,4 - Effective,1 - Not at all effective,1 - Not at all effective,3 - Unsure,4 - Effective,1 - Not at all effective,3 - Unsure,1 - Not at all effective,2 - Not effective,4 - Effective,3 - Unsure,2 - Not effective,1 - Not at all effective,2 - Not effective,2 - Not effective,4 - Effective,2 - Not effective,1 - Not at all effective,2 - Not effective,3 - Unsure,4 - Effective,1 - Not at all effective,1 - Not at all effective,1 - Not at all effective,1 - Not at all effective,4 - Effective,1 - Not at all effective,1 - Not at all effective,Safety is most important to me and I believe that a non-profit organization would be the most effective in dealing with this if given the ability to censure and find offending companies. I believe that the non-profit organization would be the least corrupt in doing so.,1 - Don't trust at all,3 - Unsure,4 - Trust,2 - Don't trust,1 - Don't trust at all,1 - Don't trust at all,4 - Trust,1 - Don't trust at all,3 - Unsure,1 - Don't trust at all,1 - Don't trust at all,4 - Trust,3 - Unsure,2 - Don't trust,1 - Don't trust at all,1 - Don't trust at all,2 - Don't trust,4 - Trust,2 - Don't trust,1 - Don't trust at all,1 - Don't trust at all,3 - Unsure,4 - Trust,1 - Don't trust at all,1 - Don't trust at all,1 - Don't trust at all,1 - Don't trust at all,4 - Trust,1 - Don't trust at all,1 - Don't trust at all,"Again, safety is most important to me. I believe that a non-profit organization would be the least untrustworthy of those listed.",Safety,Cybersecurity,Environment,Justice/equity,Privacy protection,Infrastructure,I think we need to consider the effect driverless vehicles would have on society and our culture in terms of choosing technology over the potential harm to people.,Do not be influenced by lobbyists. Consider safety issues and do not rush to approve anything.,Do not be influenced by those in your constituency who hold special interests in the development of driverless technology,Do not rush things. Be honest about things that are not yet ready to be implemented. Take your time. Lives are at stake and are more important than money.,Yes,not really--safety is still a concern,how the technology will ensure safety and alleviate the potential for failure/hacking,nervous
Buffalo,F7Q9-XAZ4,Yes,My husband drove me in our van,Will this technology be safe?,Optimistic,Enthusiastic,Yes,"riverworks, stores",work and doctors,dinner,husband drove our van,van,van,husband,husband,friend,independence,independence,"freedom, relax","he did not want to go, didnt trust his driving",could't go fast way,husband drives slow,Driverless mobility would improve,Driverless mobility would improve,Driverless mobility would improve,Driverless mobility would improve,Driverless mobility would improve,Driverless mobility would improve,Driverless mobility would improve,Driverless mobility would have no effect,Driverless mobility would improve,Driverless mobility would make worse,Driverless mobility would make worse,Driverless mobility would improve,Driverless mobility would improve,,,"availability of transportation would improve providing freedom and independence while increasing opportunities to seek employment, education, medical options, travel and vacation, access to stores and public areas it theater public venues restaurants",Develops soon,i want to experience the freedom and independence all drives do,"Safety
- i want to trust i will get where i need to go and not be hurt or killed",,"Access
-i want the freedom to have access to any location i choose to travel",,"Government
-i have difficulty trusting the authenticity of our politicians",,"Financing 
-who will  pay for driverless mobility to advance? will funding dry up",,"Technology
-it isn't always  and reliable develops too quickly to be properly tested",,Yes,Unsure/I don't know,Unsure/I don't know,Agree,Strongly agree,"level 5, more advanced tech and more testing done",Agree,Agree,Agree,Unsure/I don't know,Agree,,Unsure/I don't know,Agree,Strongly disagree,Agree,Strongly disagree,confidentiality / privacy issues data should not to be sold,Yes,Desirable,Higly desirable,Desirable,Desirable,Individual ownership;Ride share model;Public transportation model,see above,Yes,2 - Not effective,2 - Not effective,4 - Effective,4 - Effective,2 - Not effective,4 - Effective,4 - Effective,2 - Not effective,4 - Effective,2 - Not effective,4 - Effective,4 - Effective,5 - Very effective,4 - Effective,3 - Unsure,2 - Not effective,2 - Not effective,4 - Effective,4 - Effective,2 - Not effective,5 - Very effective,4 - Effective,2 - Not effective,4 - Effective,2 - Not effective,2 - Not effective,2 - Not effective,2 - Not effective,2 - Not effective,2 - Not effective,Privacy - Because non-for profit are funded by the people invested in politics more open to the public opinion,2 - Don't trust,2 - Don't trust,4 - Trust,4 - Trust,2 - Don't trust,4 - Trust,4 - Trust,2 - Don't trust,4 - Trust,2 - Don't trust,4 - Trust,4 - Trust,5 - Trust a lot,4 - Trust,3 - Unsure,2 - Don't trust,2 - Don't trust,4 - Trust,4 - Trust,2 - Don't trust,5 - Trust a lot,4 - Trust,2 - Don't trust,4 - Trust,2 - Don't trust,2 - Don't trust,2 - Don't trust,2 - Don't trust,2 - Don't trust,2 - Don't trust,Privacy protection - more open to public opinion - non for profits - not in it for profit,Privacy protection,Safety,Justice/equity,Cybersecurity,Infrastructure,Environment,"ADA regulation, safety & access. Transportation authority behind **** implementing technology","Be honest and do your research, don't be influenced by private sector gains. Listen more to what the public has to say",Same as above,Begin conversations with employers/community. Be open to new ideas and a shift in paradim,Yes,"Unfortunately yes, I wanted to have an idea of the time frame of developing autonomous vehicles. Sadly, it appears there are enormous challenges and obstacles surrounding technology, data collection, safety, etc",Are all the above issues and concerns actually being researched and addressed daily and agressively[sic] and by whom? What is the true cost of an AV looking like today? What is our local NFTA doing about public AV systems?,Excited!
Buffalo,DLDN-SDHL,Yes,by car,i don't have any,Very optimistic,certain,Yes,Park,school event,NYC,car,car,car,no one,no one,no one,evening sun,close to home,the greenery,problems with ac,parking,long drive,Driverless mobility would improve,Driverless mobility would improve,Driverless mobility would improve,Driverless mobility would improve,Driverless mobility would have no effect,Driverless mobility would have no effect,Driverless mobility would improve,Driverless mobility would improve,Driverless mobility would have no effect,Driverless mobility would make worse,Driverless mobility would make worse,Driverless mobility would have no effect,Driverless mobility would have no effect,,,"Total cost of individual car ownership. Driverless mobility would be expensive, premium feature only for cars with advance tech. not affordable by everyone",Independence,people can move around often with this tech,Driving efficient - there are far too money car crashes,,Peace of mind - I would personally travel more if i didn't have to worry about driving,,,,,,,,Yes,Strongly agree,Agree,Unsure/I don't know,Disagree,level 3. i don't want to ever have no control over the vehicle I'm in,Strongly agree,Strongly agree,Unsure/I don't know,Unsure/I don't know,Agree,,Unsure/I don't know,Unsure/I don't know,Unsure/I don't know,Strongly agree,Agree,individuals should be incentivized for the info they give whether willing or unwilling,Yes,Higly desirable,Desirable,Desirable,Desirable,Ride share model,"with improving the current system, there is no room to impose autonomy, which i believe is BS. i would love a combination of this and ride share model.",Yes,3 - Unsure,3 - Unsure,2 - Not effective,2 - Not effective,3 - Unsure,4 - Effective,4 - Effective,3 - Unsure,3 - Unsure,3 - Unsure,4 - Effective,4 - Effective,3 - Unsure,2 - Not effective,3 - Unsure,3 - Unsure,3 - Unsure,2 - Not effective,2 - Not effective,2 - Not effective,4 - Effective,4 - Effective,4 - Effective,3 - Unsure,2 - Not effective,3 - Unsure,3 - Unsure,4 - Effective,3 - Unsure,3 - Unsure,,3 - Unsure,3 - Unsure,3 - Unsure,3 - Unsure,3 - Unsure,3 - Unsure,3 - Unsure,3 - Unsure,3 - Unsure,3 - Unsure,3 - Unsure,3 - Unsure,3 - Unsure,3 - Unsure,3 - Unsure,3 - Unsure,3 - Unsure,3 - Unsure,3 - Unsure,3 - Unsure,3 - Unsure,3 - Unsure,3 - Unsure,3 - Unsure,3 - Unsure,3 - Unsure,3 - Unsure,3 - Unsure,3 - Unsure,3 - Unsure,,Privacy protection,Cybersecurity,Environment,Justice/equity,Safety,Infrastructure,,You are all accountable for security,You are all accountable for security,You are all accountable for security,Yes,i didn't have any major driverless questions coming in,can we still work to improve current public transport? how much would it cost to use ridesharing AV?,progressive
Buffalo,P8S3-2WRF,Yes,I used NFTA Metro,It's so good for a lot of demographics and so I don't have any questions beyond when it will be available.,Very optimistic,Future,Yes,"mom's house, moving","aldi, groceries","chicago, comic con",UB stampede and NFTA metro,UB stampede and NFTA metro,amtrak,public transportation,public transportation,alone,being able to read,being able to read,looking at scenery,waiting for buses,waiting for buses,long ride,Driverless mobility would improve,Driverless mobility would have no effect,Driverless mobility would improve,Driverless mobility would have no effect,Driverless mobility would have no effect,Driverless mobility would have no effect,Driverless mobility would have no effect,Driverless mobility would improve,Driverless mobility would improve,Driverless mobility would improve,Driverless mobility would have no effect,Driverless mobility would improve,Driverless mobility would improve,,,"getting to hard to access areas would get easier because there would be fewer barriers (eg, buses, ride share, etc)",quicker commutes,,safer roads,,greater for disabled and elderly,,lack of access due to cost,,poor infrastructure/implementation,,demand outstripping supply,,Yes,Strongly agree,Strongly agree,Strongly agree,Strongly agree,i'm eager to learn about the differences between each level first hand,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,testing in all situation is necessary for data collection purposes,Agree,Disagree,Strongly disagree,Strongly agree,Agree,data collection is a necessary evil and i don't feel it should be sold for profit.  it will be needed for public planning by local government but private companies should have to pay people directly for their data,Yes,Desirable,Not desirable,Higly desirable,Higly desirable,Public transportation model,the most people would benefit and would do so sooner.  i would like for disabled passengers to be considered in every stage of development instead of tacked on with decades old technology,Yes,1 - Not at all effective,1 - Not at all effective,3 - Unsure,1 - Not at all effective,1 - Not at all effective,4 - Effective,5 - Very effective,3 - Unsure,3 - Unsure,1 - Not at all effective,2 - Not effective,4 - Effective,4 - Effective,1 - Not at all effective,1 - Not at all effective,3 - Unsure,3 - Unsure,3 - Unsure,3 - Unsure,3 - Unsure,4 - Effective,5 - Very effective,3 - Unsure,4 - Effective,1 - Not at all effective,4 - Effective,5 - Very effective,4 - Effective,3 - Unsure,1 - Not at all effective,Infrastructure is important to me and I think local government would be the most effective stakeholder because local citizens would hold them accountable.,1 - Don't trust at all,3 - Unsure,3 - Unsure,1 - Don't trust at all,1 - Don't trust at all,4 - Trust,5 - Trust a lot,3 - Unsure,4 - Trust,1 - Don't trust at all,3 - Unsure,4 - Trust,4 - Trust,3 - Unsure,1 - Don't trust at all,4 - Trust,5 - Trust a lot,3 - Unsure,3 - Unsure,1 - Don't trust at all,4 - Trust,4 - Trust,3 - Unsure,4 - Trust,1 - Don't trust at all,4 - Trust,4 - Trust,5 - Trust a lot,4 - Trust,1 - Don't trust at all,,Environment,Infrastructure,Privacy protection,Safety,Justice/equity,Cybersecurity,,Create federal standards for AV and laws for operating them between states.,,Release safety statistics to the public every quarter.,Yes,yes,Can test tracks become more advanced to include randomized obstacles? would that be a good compromise to increase safety during testing?,interesting
